Modell;Auris_Touring_Sports_1.8_Hybrid;Corolla_Touring_Sports_1.8_Hybrid;RAV4_gen5_2.5_Hybrid;RAV4_gen4_2.5_Hybrid;Prius_1.8_Hybrid;Prius+_1.8_Hybrid;Skoda_enyaq_IV60
WerkstattkostenJahrlich;1200;1200;1440;1440;2500;1200;1200
Nova;0;0;1000;730;0;0;0
Versicherung_jahrlich;650;650;1180;1000;650;650;350
Grundpreis;30090;36000;46000;40090;32000;32900;42000
Preis;14000;19000;21000;18500;7000;20000;25000
SpritPreis;1.65;1.65;1.65;1.65;1.65;1.65;1.65
