Verbrauch Gesamt (NEFZ);4,3;3,9;5,1;5,5;4,1;4,1
CO2-Wert (NEFZ);99 g/km;100 g/km;126 g/km;127 g/km;89 g/km;96 g/km
Tankgröße;45,0 l;43,0 l;55,0 l;56,0 l;45,0 l;45,0 l
Speichertechnik (z.B. Lithiumionen, Feststoff etc.);Nickel-Metallhydrid;Lithium;Nickel-Metallhydrid;Nickel-Metallhydrid;Nickel-Metallhydrid;Nickel-Metallhydrid
Batteriekapazität (Brutto) in kWh;1,3;1,6;1,6;1,6;1;1
Betriebskosten;122;129;153;153;130 €;113 €
Fixkosten;109;94;124;129;109 €;97 €
Werkstattkosten;104;100;110;115;95 €;101 €
Nova;0;0;1000;730;0 €;0 €
Versischerung jährlich;650;650;1180;1000;650 €;650 €
Preis;14000;19000;21000;18500;20.000 €;7.000 €
;;;;;;
;;;;;;
;;;;;;
